,is_part_of,n,keep
1,Acta Criminologica,35,0
2,Acta Turistica,365,0
3,African Sociological Review / Revue Africaine de Sociologie,501,1
4,American Journal of Sociology,24536,1
5,American Sociological Review,13224,1
6,Annales d'histoire sociale (1939-1941),169,0
7,Annales d'histoire sociale (1945),29,0
8,Annales d'histoire économique et sociale,2438,0
9,Annales de la Soci?t? d'ethnographie fran?aise,16,0
10,Annales sociologiques. Série A. Sociologie générale,106,0
11,Annales sociologiques. Série B. Sociologie religieuse,23,0
12,Annales sociologiques. Série C. Sociologie juridique et morale,80,0
13,Annales sociologiques. Série D. Sociologie économique,105,0
14,"Annales sociologiques. Série E. Morphologie sociale, langage, technologie, esthétique",69,0
15,"Annales. Histoire, Sciences Sociales",13838,0
16,Annual Review of Sociology,978,1
17,Análise Social,2975,0
18,Archives de sciences sociales des religions,12224,0
19,Archives de sociologie des religions,4241,0
20,Arts et traditions populaires,808,0
21,Asian Journal of Social Science,1080,1
22,Aula,264,0
23,Berkeley Journal of Sociology,539,1
24,Bulletin annuel de l'Institut français d'histoire sociale,15,0
25,Bulletin of the Population and Development Studies Center,58,0
26,CASTE: A Global Journal on Social Exclusion,177,0
27,Cahiers Internationaux de Sociologie,2082,0
28,Cahiers Vilfredo Pareto,243,0
29,Children's Environments,129,0
30,Children's Environments Quarterly,296,0
31,"Children, Youth and Environments",996,0
32,Civilisations,2116,1
33,Comparative Studies in Society and History,2197,1
34,"Contagion: Journal of Violence, Mimesis, and Culture",178,0
35,Contemporary Sociology,25304,1
36,Crime and Justice,426,0
37,Criminologie,899,0
38,Critical Ethnic Studies,128,0
39,Czech Sociological Review,165,1
40,Czechoslovak Sociological Review,7,1
41,Development and Society,321,1
42,Durkheimian Studies / Études Durkheimiennes,338,1
43,Ecología Política,1407,0
44,Egyetemi Szemle,379,0
45,Environment and Society,270,1
46,Estudios Sociológicos,1719,0
47,Ethnologie fran?aise,3819,0
48,European Journal of Sociology / Archives Européennes de Sociologie / Europäisches Archiv für Soziologie,1289,1
49,Family Relations,3100,0
50,Folklore Paysan,22,0
51,French Politics and Society,748,1
52,"French Politics, Culture & Society",871,1
53,Genèses,1780,0
54,German Politics & Society,1488,1
55,German Studies Newsletter,107,0
56,Historical Social Research / Historische Sozialforschung,2439,1
57,Historical Social Research / Historische Sozialforschung. Supplement,207,1
58,Hitotsubashi Journal of Social Studies,284,1
59,Horizontes Decoloniales / Decolonial Horizons,61,0
60,Human Ecology Review,731,0
61,Humboldt Journal of Social Relations,849,1
62,Ibadan Journal of Sociology,72,1
63,"International Journal of Politics, Culture, and Society",899,1
64,International Journal of Sociology of the Family,934,1
65,International Review of Modern Sociology,1021,1
66,International Review of Sociology,26,1
67,International Social Science Review,1856,1
68,Israeli Sociology / סוציולוגיה ישראלית,1152,1
69,Journal for the Scientific Study of Religion,4793,1
70,Journal for the Study of Radicalism,332,1
71,Journal of Asian Sociology,128,1
72,Journal of Critical Mixed Race Studies,39,1
73,Journal of Haitian Studies,768,0
74,Journal of Hate Studies,174,0
75,Journal of Health and Human Behavior,430,1
76,Journal of Health and Social Behavior,2002,1
77,Journal of Immigrant Health,195,0
78,Journal of Immigrant and Minority Health,1574,0
79,Journal of Marriage and Family,6318,1
80,Journal of Political & Military Sociology,1314,1
81,Journal of Racial and Ethnic Health Disparities,899,1
82,Journal of the History of Sexuality,1664,1
83,Korea Journal of Population and Development,104,0
84,L'Actualité de l'histoire,139,0
85,L'Année sociologique (1896/1897-1924/1925),2679,1
86,L'Année sociologique (1940/1948-),5655,1
