,journal,year_min,year_max,book_review,research_article,totalwords_m,coverage
1,American Journal of Sociology,1895,2019,17457,5345,54.4,124
2,American Sociological Review,1936,2022,7091,5690,45.8,86
3,Annual Review of Sociology,1975,2019,0,961,10.8,44
4,Contemporary Sociology,1972,2022,24625,0,25.4,50
5,European Journal of Sociology,1960,2019,382,907,10.0,59
6,International Social Science Review,1925,2020,4992,2643,11.7,95
7,Journal for the Scientific Study of Religion,1961,2019,2473,2266,17.0,58
8,Journal of Health and Social Behavior,1967,2022,92,1871,14.4,55
9,Journal of Marriage and Family,1964,2019,1458,4633,33.3,55
10,"Race, Gender & Class",1993,2018,55,846,5.9,25
11,Signs,1975,2019,1334,2054,16.9,44
12,Social Psychology Quarterly,1937,2022,48,2639,15.8,85
13,Sociology of Education,1927,2022,1425,3681,16.6,95
14,Teaching Sociology,1973,2022,1836,1753,11.5,49
15,The American Sociologist,1965,2021,17,1964,10.4,56
16,The British Journal of Sociology,1950,1998,3326,1333,13.2,48
17,The Canadian Journal of Sociology,1975,2021,1939,1002,10.2,46
18,Theory and Society,1974,2021,470,1250,16.5,47
,,,,69020,40838,339.7,
